20230117	02:29:55	0566b360-3954-4a88-990e-fb9bc2d4c015	/new-page.html	GET
20230117	02:29:55	afb52885-4f6b-4c2a-ac89-f757dff9e802	/css/style.css	GET
20230117	02:29:55	621b349d-4d85-426f-adb5-1118742ca748	/img/img1.jpg	GET
20230117	02:29:55	2f1d3f1e-bde0-4236-be64-2580ab3c1475	/favicon.ico	GET
20230117	02:42:47	163f906a-86a1-4166-be80-b0119430c218	/new-page.html	GET
20230117	02:45:30	b634339c-560a-4679-a6f3-175bd7c80dc7	/new-page.html	GET
20230117	02:45:30	5f74ce07-aea9-46f1-8e2e-e70e099960e4	/css/style.css	GET
20230117	02:45:30	f046834a-1893-4ef1-81cc-d7224da2c7ab	/img/img1.jpg	GET
20230117	02:53:37	939e8d1a-df84-4519-b0ed-03c5cb4c8786	/new-page.html	GET
20230117	02:53:37	0795d619-23aa-4450-936e-8a394f10abc8	/css/style.css	GET
20230117	02:53:37	0b9618b0-7369-48f3-a2e3-93a70b69f1cc	/img/img1.jpg	GET
20230118	00:33:29	77a616c9-f844-4c1f-87c7-685295dcf925	/new-page	undefined	GET
20230118	00:33:46	cd3c4424-184c-4ccf-b54e-877e70662040	/new-page	undefined	GET
20230118	00:34:09	e6fe33a0-27b8-491c-a2ed-84c5d5759476	/new-page	undefined	GET
20230118	00:34:09	b70d38f4-c622-483d-9e8a-c1cd580f8e89	/css/style.css	undefined	GET
20230118	00:34:09	38e4279e-1843-416a-82e1-bd6624fff6fc	/img/img1.jpg	undefined	GET
20230118	00:34:32	02e61545-5d17-4ea0-8122-e25fcb450e0e	/new-page	undefined	GET
20230118	00:34:32	77b693c8-49db-46b0-85c5-fe2eee6cf292	/css/style.css	undefined	GET
20230118	00:34:32	ee60cedd-fc2c-497e-b8e2-14abe1be158d	/img/img1.jpg	undefined	GET
20230118	01:37:51	d7e49280-3578-4e6e-a7f1-1955c891cfd8	/new-page	undefined	GET
20230118	01:37:51	54046bed-0b8b-4bc9-a5e2-6f91e7389aa2	/css/style.css	undefined	GET
